,Recording timestamp,Gaze point X,Gaze point Y
1042,10564,809,454
1043,10574,809,453
1044,10584,808,450
1045,10594,807,447
1046,10604,807,447
1047,10614,807,447
1048,10624,806,446
1049,10634,804,443
1050,10644,804,442
1051,10654,802,443
1052,10664,800,444
1053,10674,797,443
1054,10684,795,442
1055,10694,792,441
1056,10704,789,440
1057,10714,787,438
1058,10724,785,434
1059,10734,786,428
1061,10744,784,427
1062,10754,785,427
1063,10764,787,426
1064,10774,788,425
1065,10784,789,425
1066,10794,791,426
1067,10804,793,426
1068,10814,795,427
1069,10824,798,430
1070,10834,804,430
1071,10844,807,427
1072,10854,809,424
1073,10863,812,424
1074,10873,814,426
1075,10883,815,426
1076,10893,817,426
1077,10903,818,426
1078,10913,818,427
1079,10923,818,427
1080,10933,818,428
1081,10943,818,429
1082,10953,818,430
1083,10963,818,430
1084,10973,818,431
1085,10983,818,433
1086,10993,818,432
1087,11003,819,428
1088,11013,818,430
1089,11023,818,433
1090,11033,818,434
1091,11043,818,436
1092,11053,819,438
1093,11063,819,439
1094,11073,817,438
1095,11083,816,438
1096,11093,814,439
1097,11103,813,439
1098,11113,812,439
1099,11123,811,438
1100,11133,808,438
1101,11143,805,439
1102,11153,802,438
1103,11163,801,435
1104,11173,802,434
1105,11183,802,433
1106,11193,801,432
1107,11203,801,432
1108,11213,800,432
1109,11223,799,432
1110,11233,803,431
1111,11243,806,426
1112,11253,807,425
1113,11263,808,424
1114,11273,810,425
1115,11283,811,425
1116,11293,812,426
1117,11303,814,426
1118,11313,817,426
1119,11323,819,427
1120,11333,821,426
1121,11343,823,425
1122,11353,824,424
1123,11363,825,425
1124,11373,828,425
1125,11383,831,426
1126,11393,831,430
1127,11403,832,435
1128,11413,834,436
1129,11423,834,436
1130,11433,834,439
1131,11443,834,445
1132,11453,836,449
1133,11463,836,450
1134,11473,835,453
1135,11483,834,456
1136,11493,834,456
1137,11503,833,455
1138,11513,831,457
1139,11523,829,461
1140,11533,829,460
1141,11543,829,455
1142,11553,828,454
1143,11563,828,454
1144,11573,827,451
1145,11583,826,447
1146,11593,826,444
1147,11603,826,442
1148,11613,825,440
1149,11623,824,436
1150,11633,822,435
1151,11643,821,437
1152,11653,820,436
1153,11663,818,435
1154,11673,817,436
1155,11683,816,438
1156,11693,814,439
1157,11703,812,438
1158,11713,811,437
1162,11743,811,433
1163,11753,811,431
1164,11763,810,426
1165,11773,809,423
1166,11783,809,421
1167,11793,812,419
1168,11803,814,419
1169,11813,816,419
1170,11823,819,419
1171,11833,822,421
1172,11843,824,422
1173,11853,825,423
1174,11863,827,424
1175,11873,829,426
1176,11883,831,426
1177,11893,830,429
1178,11903,830,430
1179,11913,831,431
1180,11923,831,432
1181,11933,830,432
1182,11943,829,434
1183,11953,829,435
1184,11963,829,436
1185,11973,828,436
1186,11983,828,436
1187,11993,828,435
1188,12003,827,434
1189,12013,826,435
1190,12023,825,436
1191,12033,825,437
1192,12043,825,435
1193,12053,824,434
1194,12063,823,435
1195,12073,822,436
1196,12083,820,435
1197,12093,819,435
1198,12103,819,436
1199,12113,818,436
1200,12123,817,436
1201,12133,816,435
1202,12143,814,436
1203,12153,813,437
1204,12163,812,437
1205,12173,811,438
1206,12183,809,439
1207,12193,808,439
1208,12203,805,437
1209,12213,804,435
1210,12223,804,433
1211,12233,803,432
1212,12243,803,428
1213,12253,803,424
1214,12263,803,422
1215,12273,804,420
1216,12283,805,417
1217,12293,807,416
1218,12303,810,416
1219,12313,811,417
1220,12323,812,417
1221,12333,813,419
1222,12343,814,423
1223,12353,816,427
1224,12363,817,427
1225,12373,817,428
1226,12383,818,432
1227,12393,818,436
1228,12403,818,438
1229,12413,819,438
1230,12423,819,439
1231,12433,820,439
1232,12443,821,439
1233,12453,820,439
1234,12463,820,439
1235,12473,820,440
1236,12483,820,438
1237,12493,818,438
1238,12503,816,441
1239,12513,815,443
1240,12523,813,446
1241,12533,813,445
1242,12542,812,444
1243,12552,811,447
1244,12562,809,452
1245,12572,809,452
1246,12582,808,452
1247,12592,806,453
1248,12602,804,453
1249,12612,804,453
1250,12622,804,449
1251,12632,803,448
1252,12642,801,446
1253,12652,801,443
1254,12662,801,438
1255,12672,799,437
1256,12682,797,435
1257,12692,798,431
1258,12702,800,426
1259,12712,800,423
1260,12722,799,422
1261,12732,800,421
1262,12742,802,420
1263,12752,803,419
1264,12762,804,419
