Recording timestamp,Gaze point X,Gaze point Y
19708,770,499
19718,768,498
19728,767,496
19738,765,494
19748,762,495
19758,761,497
19768,760,498
19778,759,499
19788,758,502
19798,757,504
19808,758,503
19818,760,504
19828,760,507
19838,762,509
19848,765,509
19858,767,507
19868,768,508
19878,769,509
19888,770,508
19898,771,507
19908,772,509
19918,774,512
19928,774,511
19938,774,510
19948,773,510
19958,772,509
19968,772,508
19978,772,505
19988,,
19998,,
20008,770,503
20018,771,501
20028,770,498
20038,768,494
20048,766,493
20058,765,491
20068,765,489
20078,764,488
20088,763,488
20098,762,490
20108,761,491
20118,760,491
20128,759,491
20138,758,493
20148,758,494
20158,759,495
20168,759,496
20178,759,496
20188,760,495
20198,761,496
20208,761,498
20218,761,503
20228,762,504
